"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"227","p302","PWY-6876","isopropanol biosynthesis (engineered)","isopropanol biosynthesis (engineered) (PWY-6876)","PWY-6876",0.00025,0.001081,15.8,0.000246,0.000971,15.9,0.000266,0.001518,15.5
"187","p267","PWY-6478","GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis","GDP-D-glycero-alpha-D-manno-heptose biosynthesis (PWY-6478)","PWY-6478",0.000242,0.001477,8.8,0.000191,0.001425,7.1,0.000491,0.0017,17.2
"220","p297","PWY-6797","6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)","6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus) (PWY-6797)","PWY-6797",0.000237,0.000933,17.6,0.000279,0.001015,20.5,3.1e-05,0.000211,3.4
"196","p275","PWY-6562","norspermidine biosynthesis","norspermidine biosynthesis (PWY-6562)","PWY-6562",0.000227,0.000838,25.8,0.000226,0.000862,25.4,0.000229,0.000722,27.6
"212","p29","CRNFORCAT-PWY","creatinine degradation I","creatinine degradation I (CRNFORCAT-PWY)","CRNFORCAT-PWY",0.000227,0.000962,15.2,0.000264,0.001049,16.3,4.5e-05,0.000173,10.3
"198","p277","PWY-6572","chondroitin sulfate degradation I (bacterial)","chondroitin sulfate degradation I (bacterial) (PWY-6572)","PWY-6572",0.000218,0.001574,6.2,0.000125,0.001464,2.8,0.000671,0.00198,22.4
"286","p356","PWY-7294","D-xylose degradation IV","D-xylose degradation IV (PWY-7294)","PWY-7294",0.000206,0.000993,11.7,0.000194,0.000858,12.4,0.000269,0.001494,8.6
"94","p183","PWY-5514","UDP-N-acetyl-D-galactosamine biosynthesis II","UDP-N-acetyl-D-galactosamine biosynthesis II (PWY-5514)","PWY-5514",0.000202,0.000742,23.5,0.000214,0.000732,25.8,0.000142,0.000795,12.1
"252","p325","PWY-7196","superpathway of pyrimidine ribonucleosides salvage","superpathway of pyrimidine ribonucleosides salvage (PWY-7196)","PWY-7196",0.000198,0.000615,21.1,0.000227,0.000664,23,5.9e-05,0.000226,12.1
"17","p113","POLYAMINSYN3-PWY","superpathway of polyamine biosynthesis II","superpathway of polyamine biosynthesis II (POLYAMINSYN3-PWY)","POLYAMINSYN3-PWY",0.000196,0.001155,8.8,0.000141,0.000923,7.8,0.000464,0.001912,13.8
"76","p167","PWY-5304","superpathway of sulfur oxidation (Acidianus ambivalens)","superpathway of sulfur oxidation (Acidianus ambivalens) (PWY-5304)","PWY-5304",0.000182,0.00129,9.4,0.000147,0.001067,8.8,0.000354,0.002062,12.1
"226","p301","PWY-6863","pyruvate fermentation to hexanol (engineered)","pyruvate fermentation to hexanol (engineered) (PWY-6863)","PWY-6863",0.000164,0.000857,10.3,0.00012,0.000699,8.8,0.000379,0.001381,17.2
"162","p244","PWY-6210","2-aminophenol degradation","2-aminophenol degradation (PWY-6210)","PWY-6210",0.000152,0.000563,27,0.000178,0.000614,29.7,2.6e-05,9.3e-05,13.8
"97","p186","PWY-5654","2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate","2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate (PWY-5654)","PWY-5654",0.000151,0.000563,26.7,0.000177,0.000614,29.3,2.6e-05,9.3e-05,13.8
"285","p355","PWY-7290","Escherichia coli serotype O86 O-antigen biosynthesis","Escherichia coli serotype O86 O-antigen biosynthesis (PWY-7290)","PWY-7290",0.000151,0.000692,8.8,0.000178,0.000755,10.2,1.9e-05,0.000142,1.7
"296","p365","PWY-7371","1,4-dihydroxy-6-naphthoate biosynthesis II","1,4-dihydroxy-6-naphthoate biosynthesis II (PWY-7371)","PWY-7371",0.000141,0.000894,7.6,9.8e-05,0.000761,6.4,0.000349,0.001359,13.8
"30","p125","PWY-1622","formaldehyde assimilation I (serine pathway)","formaldehyde assimilation I (serine pathway) (PWY-1622)","PWY-1622",0.000132,0.00072,8.5,0.000156,0.000786,9.9,1.5e-05,0.000111,1.7
"233","p308","PWY-6953","dTDP-3-acetamido-&alpha;-D-fucose biosynthesis","dTDP-3-acetamido-alpha-D-fucose biosynthesis (PWY-6953)","PWY-6953",0.000132,0.001177,3.5,0.000106,0.001187,2.5,0.000255,0.001129,8.6
"360","p422","PWY66-367","ketogenesis","ketogenesis (PWY66-367)","PWY66-367",0.000123,0.000539,15.2,0.000139,0.000585,16.6,4.6e-05,0.000195,8.6
"165","p247","PWY-6263","superpathway of menaquinol-8 biosynthesis II","superpathway of menaquinol-8 biosynthesis II (PWY-6263)","PWY-6263",8.7e-05,0.00047,7.3,3.4e-05,0.000199,4.9,0.000342,0.001021,19
"359","p421","PWY5F9-12","biphenyl degradation","biphenyl degradation (PWY5F9-12)","PWY5F9-12",8.7e-05,0.000314,12.3,9.7e-05,0.00032,14.1,3.8e-05,0.000281,3.4
"154","p237","PWY-6145","superpathway of CMP-sialic acids biosynthesis","superpathway of CMP-sialic acids biosynthesis (PWY-6145)","PWY-6145",8.1e-05,0.000285,16.4,6.1e-05,0.000226,14.5,0.000177,0.000469,25.9
"184","p264","PWY-6467","Kdo transfer to lipid IVA III (Chlamydia)","Kdo transfer to lipid IVA III (Chlamydia) (PWY-6467)","PWY-6467",8.1e-05,0.000429,7.6,7.8e-05,0.000444,7.4,9.6e-05,0.000345,8.6
"350","p413","PWY1G-0","mycothiol biosynthesis","mycothiol biosynthesis (PWY1G-0)","PWY1G-0",7.8e-05,0.000244,19.6,6e-05,0.000221,16.3,0.000166,0.000322,36.2
"86","p176","PWY-5420","catechol degradation II (meta-cleavage pathway)","catechol degradation II (meta-cleavage pathway) (PWY-5420)","PWY-5420",7.6e-05,0.00033,9.7,9.1e-05,0.000361,11.7,0,0,0
"82","p172","PWY-5392","reductive TCA cycle II","reductive TCA cycle II (PWY-5392)","PWY-5392",7.5e-05,0.00026,17.3,6.9e-05,0.000253,16.6,1e-04,0.000295,20.7
"31","p126","PWY-181","photorespiration","photorespiration (PWY-181)","PWY-181",7.3e-05,0.000669,4.1,8.8e-05,0.000734,4.9,0,0,0
"104","p192","PWY-5677","succinate fermentation to butanoate","succinate fermentation to butanoate (PWY-5677)","PWY-5677",6.9e-05,0.000457,4.4,6.9e-05,0.000445,4.6,7.2e-05,0.000514,3.4
"297","p366","PWY-7373","superpathway of demethylmenaquinol-6 biosynthesis II","superpathway of demethylmenaquinol-6 biosynthesis II (PWY-7373)","PWY-7373",6.4e-05,0.000672,2.1,4.6e-05,0.000515,2.1,0.000154,0.001173,1.7
"273","p344","PWY-7235","superpathway of ubiquinol-6 biosynthesis (late decarboxylation)","superpathway of ubiquinol-6 biosynthesis (late decarboxylation) (PWY-7235)","PWY-7235",6.3e-05,0.000646,2.3,4.7e-05,0.000513,2.5,0.000143,0.001088,1.7
"434","p79","METH-ACETATE-PWY","methanogenesis from acetate","methanogenesis from acetate (METH-ACETATE-PWY)","METH-ACETATE-PWY",6.2e-05,0.000267,8.8,7e-05,0.000283,9.9,2.6e-05,0.000166,3.4
"72","p163","PWY-5183","superpathway of aerobic toluene degradation","superpathway of aerobic toluene degradation (PWY-5183)","PWY-5183",6.1e-05,0.000369,5.3,6.6e-05,0.000395,5.3,3.9e-05,0.000196,5.2
"239","p313","PWY-7031","protein N-glycosylation (bacterial)","protein N-glycosylation (bacterial) (PWY-7031)","PWY-7031",5.7e-05,0.000585,2.3,4.1e-05,0.000444,2.5,0.000135,0.001029,1.7
"130","p215","PWY-5870","ubiquinol-8 biosynthesis (late decarboxylation)","ubiquinol-8 biosynthesis (late decarboxylation) (PWY-5870)","PWY-5870",5.6e-05,0.000591,2.1,3.9e-05,0.000448,2.1,0.000136,0.001039,1.7
"85","p175","PWY-5419","catechol degradation to 2-hydroxypentadienoate II","catechol degradation to 2-hydroxypentadienoate II (PWY-5419)","PWY-5419",4.7e-05,0.000203,9.7,5.7e-05,0.000222,11.7,0,0,0
"65","p157","PWY-5156","superpathway of fatty acid biosynthesis II (plant)","superpathway of fatty acid biosynthesis II (plant) (PWY-5156)","PWY-5156",4.6e-05,0.000339,2.3,4.4e-05,0.00032,2.5,5.5e-05,0.000422,1.7
"33","p128","PWY-2221","Entner-Doudoroff pathway III (semi-phosphorylative)","Entner-Doudoroff pathway III (semi-phosphorylative) (PWY-2221)","PWY-2221",3.7e-05,0.000229,4.4,3.6e-05,0.000211,4.9,4e-05,0.000306,1.7
"153","p236","PWY-6143","CMP-pseudaminate biosynthesis","CMP-pseudaminate biosynthesis (PWY-6143)","PWY-6143",3.7e-05,0.000348,3.2,2.9e-05,0.000305,2.8,7.9e-05,0.000512,5.2
"60","p152","PWY-5101","L-isoleucine biosynthesis II","L-isoleucine biosynthesis II (PWY-5101)","PWY-5101",3.4e-05,0.000254,3.8,3e-05,0.000224,3.9,4.9e-05,0.000366,3.4
"287","p357","PWY-7312","dTDP-&beta;-D-fucofuranose biosynthesis","dTDP-beta-D-fucofuranose biosynthesis (PWY-7312)","PWY-7312",2.9e-05,0.000333,2.1,1.4e-05,0.000123,2.1,1e-04,0.000763,1.7
"235","p31","DENITRIFICATION-PWY","nitrate reduction I (denitrification)","nitrate reduction I (denitrification) (DENITRIFICATION-PWY)","DENITRIFICATION-PWY",2.7e-05,0.00028,4.1,2.1e-05,0.000239,3.9,5.9e-05,0.000432,5.2
"197","p276","PWY-6565","superpathway of polyamine biosynthesis III","superpathway of polyamine biosynthesis III (PWY-6565)","PWY-6565",2.6e-05,0.000336,1.8,1e-05,9.4e-05,1.8,0.000104,0.00079,1.7
"361","p423","PWY66-388","ceramide degradation by &alpha;-oxidation","ceramide degradation by alpha-oxidation (PWY66-388)","PWY66-388",1.9e-05,0.000173,2.9,5e-06,5.2e-05,1.4,9e-05,0.000398,10.3
"28","p123","PWY-1501","mandelate degradation I","mandelate degradation I (PWY-1501)","PWY-1501",1.8e-05,0.000208,1.5,1.1e-05,0.000169,1.1,5.2e-05,0.000339,3.4
"257","p33","DHGLUCONATE-PYR-CAT-PWY","glucose degradation (oxidative)","glucose degradation (oxidative) (DHGLUCONATE-PYR-CAT-PWY)","DHGLUCONATE-PYR-CAT-PWY",1.8e-05,7e-05,8.8,2.1e-05,7.4e-05,10.2,6e-06,4.9e-05,1.7
"306","p374","PWY-7399","methylphosphonate degradation II","methylphosphonate degradation II (PWY-7399)","PWY-7399",1.4e-05,9.8e-05,3.8,1.7e-05,0.000108,4.2,2e-06,1.2e-05,1.7
"48","p141","PWY-4722","creatinine degradation II","creatinine degradation II (PWY-4722)","PWY-4722",1.2e-05,7.8e-05,5.9,1.4e-05,8.6e-05,7.1,0,0,0
"431","p76","LIPASYN-PWY","phospholipases","phospholipases (LIPASYN-PWY)","LIPASYN-PWY",1.2e-05,6.3e-05,6.5,1.4e-05,6.9e-05,7.1,4e-06,2.1e-05,3.4
"454","p97","P165-PWY","superpathway of purines degradation in plants","superpathway of purines degradation in plants (P165-PWY)","P165-PWY",1.2e-05,9.2e-05,4.4,8e-06,5.6e-05,3.5,3.5e-05,0.000185,8.6
"396","p455","VALDEG-PWY","L-valine degradation I","L-valine degradation I (VALDEG-PWY)","VALDEG-PWY",1.1e-05,6.7e-05,3.2,1.2e-05,7.2e-05,3.5,4e-06,2.8e-05,1.7
"114","p200","PWY-5751","phenylethanol biosynthesis","phenylethanol biosynthesis (PWY-5751)","PWY-5751",1e-05,8.2e-05,2.6,9e-06,8.3e-05,2.8,1e-05,7.8e-05,1.7
"314","p381","PWY-7527","L-methionine salvage cycle III","L-methionine salvage cycle III (PWY-7527)","PWY-7527",1e-05,7.1e-05,2.1,8e-06,6.6e-05,1.8,1.7e-05,9.2e-05,3.4
"315","p382","PWY-7528","L-methionine salvage cycle I (bacteria and plants)","L-methionine salvage cycle I (bacteria and plants) (PWY-7528)","PWY-7528",9e-06,7e-05,2.1,9e-06,7.1e-05,2.1,8e-06,6.4e-05,1.7
"45","p139","PWY-4361","S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I","S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I (PWY-4361)","PWY-4361",7e-06,4.9e-05,2.3,6e-06,4.7e-05,2.1,1.1e-05,5.8e-05,3.4
"87","p177","PWY-5430","meta cleavage pathway of aromatic compounds","meta cleavage pathway of aromatic compounds (PWY-5430)","PWY-5430",7e-06,8.5e-05,1.5,8e-06,9.4e-05,1.8,0,0,0
"152","p235","PWY-6138","CMP-N-acetylneuraminate biosynthesis I (eukaryotes)","CMP-N-acetylneuraminate biosynthesis I (eukaryotes) (PWY-6138)","PWY-6138",7e-06,0.000104,0.6,8e-06,0.000114,0.7,0,0,0
"193","p272","PWY-6538","caffeine degradation III (bacteria, via demethylation)","caffeine degradation III (bacteria, via demethylation) (PWY-6538)","PWY-6538",7e-06,5.1e-05,2.6,5e-06,3.1e-05,2.5,1.6e-05,0.000103,3.4
"241","p315","PWY-7090","UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis","UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate biosynthesis (PWY-7090)","PWY-7090",5e-06,5.7e-05,0.9,3e-06,5e-05,0.7,1.1e-05,8.2e-05,1.7
"291","p360","PWY-7317","superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis","superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis (PWY-7317)","PWY-7317",4e-06,7.2e-05,0.3,0,0,0,2.3e-05,0.000175,1.7
"389","p449","TYRFUMCAT-PWY","L-tyrosine degradation I","L-tyrosine degradation I (TYRFUMCAT-PWY)","TYRFUMCAT-PWY",4e-06,2.8e-05,2.9,3e-06,2e-05,2.5,1e-05,5.2e-05,5.2
"219","p296","PWY-6785","hydrogen production VIII","hydrogen production VIII (PWY-6785)","PWY-6785",3e-06,4.8e-05,0.6,4e-06,5.3e-05,0.7,0,0,0
"282","p352","PWY-7270","L-methionine salvage cycle II (plants)","L-methionine salvage cycle II (plants) (PWY-7270)","PWY-7270",3e-06,3.4e-05,0.6,2e-06,3.2e-05,0.4,6e-06,4.3e-05,1.7
"25","p120","PWY-101","photosynthesis light reactions","photosynthesis light reactions (PWY-101)","PWY-101",2e-06,3.2e-05,0.6,2e-06,3.5e-05,0.7,0,0,0
"40","p134","PWY-3781","aerobic respiration I (cytochrome c)","aerobic respiration I (cytochrome c) (PWY-3781)","PWY-3781",2e-06,1.7e-05,1.8,2e-06,1.9e-05,2.1,0,0,0
"173","p254","PWY-6307","L-tryptophan degradation X (mammalian, via tryptamine)","L-tryptophan degradation X (mammalian, via tryptamine) (PWY-6307)","PWY-6307",2e-06,1.5e-05,2.6,2e-06,1.6e-05,3.2,0,0,0
"174","p255","PWY-6313","serotonin degradation","serotonin degradation (PWY-6313)","PWY-6313",2e-06,2.1e-05,2.6,3e-06,2.3e-05,3.2,0,0,0
"283","p353","PWY-7279","aerobic respiration II (cytochrome c) (yeast)","aerobic respiration II (cytochrome c) (yeast) (PWY-7279)","PWY-7279",2e-06,1.7e-05,1.8,2e-06,1.8e-05,2.1,0,0,0
"310","p378","PWY-7431","aromatic biogenic amine degradation (bacteria)","aromatic biogenic amine degradation (bacteria) (PWY-7431)","PWY-7431",2e-06,2.1e-05,2.6,3e-06,2.3e-05,3.2,0,0,0
"425","p70","ILEUDEG-PWY","L-isoleucine degradation I","L-isoleucine degradation I (ILEUDEG-PWY)","ILEUDEG-PWY",2e-06,3.7e-05,0.3,2e-06,4e-05,0.4,0,0,0
"21","p117","PROPFERM-PWY","superpathway of L-alanine fermentation (Stickland reaction)","superpathway of L-alanine fermentation (Stickland reaction) (PROPFERM-PWY)","PROPFERM-PWY",1e-06,1.4e-05,0.9,0,7e-06,0.4,4e-06,3e-05,3.4
"95","p184","PWY-5534","propene degradation","propene degradation (PWY-5534)","PWY-5534",1e-06,1.6e-05,0.9,1e-06,1.7e-05,1.1,0,0,0
"144","p228","PWY-6107","chlorosalicylate degradation","chlorosalicylate degradation (PWY-6107)","PWY-6107",1e-06,1.4e-05,1.5,1e-06,1.4e-05,1.1,3e-06,1.7e-05,3.4
"218","p295","PWY-6763","salicortin biosynthesis","salicortin biosynthesis (PWY-6763)","PWY-6763",1e-06,1.2e-05,0.9,1e-06,1e-05,0.7,2e-06,1.7e-05,1.7
"231","p306","PWY-6906","chitin derivatives degradation","chitin derivatives degradation (PWY-6906)","PWY-6906",1e-06,1.5e-05,0.6,1e-06,1.4e-05,0.4,3e-06,2e-05,1.7
"248","p321","PWY-7124","ethene biosynthesis V (engineered)","ethene biosynthesis V (engineered) (PWY-7124)","PWY-7124",1e-06,1.3e-05,0.3,1e-06,1.4e-05,0.4,0,0,0
"263","p335","PWY-7218","photosynthetic 3-hydroxybutanoate biosynthesis (engineered)","photosynthetic 3-hydroxybutanoate biosynthesis (engineered) (PWY-7218)","PWY-7218",1e-06,1.2e-05,0.3,1e-06,1.3e-05,0.4,0,0,0
"309","p377","PWY-7413","dTDP-6-deoxy-&alpha;-D-allose biosynthesis","dTDP-6-deoxy-alpha-D-allose biosynthesis (PWY-7413)","PWY-7413",1e-06,2.1e-05,0.3,1e-06,2.3e-05,0.4,0,0,0
"354","p417","PWY490-3","nitrate reduction VI (assimilatory)","nitrate reduction VI (assimilatory) (PWY490-3)","PWY490-3",1e-06,1.4e-05,0.9,1e-06,1.5e-05,1.1,0,0,0
"452","p95","P163-PWY","L-lysine fermentation to acetate and butanoate","L-lysine fermentation to acetate and butanoate (P163-PWY)","P163-PWY",1e-06,1.8e-05,0.6,2e-06,2e-05,0.7,0,0,0
"16","p112","PHOTOALL-PWY","oxygenic photosynthesis","oxygenic photosynthesis (PHOTOALL-PWY)","PHOTOALL-PWY",0,7e-06,0.3,0,7e-06,0.4,0,0,0
"96","p185","PWY-5647","2-nitrobenzoate degradation I","2-nitrobenzoate degradation I (PWY-5647)","PWY-5647",0,7e-06,0.3,0,8e-06,0.4,0,0,0
"115","p201","PWY-5754","4-hydroxybenzoate biosynthesis I (eukaryotes)","4-hydroxybenzoate biosynthesis I (eukaryotes) (PWY-5754)","PWY-5754",0,3e-06,0.3,0,0,0,1e-06,7e-06,1.7
"183","p263","PWY-6435","4-hydroxybenzoate biosynthesis III (plants)","4-hydroxybenzoate biosynthesis III (plants) (PWY-6435)","PWY-6435",0,4e-06,0.3,0,0,0,1e-06,9e-06,1.7
"208","p286","PWY-6660","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis (PWY-6660)","PWY-6660",0,1e-06,0.3,0,1e-06,0.4,0,0,0
"216","p293","PWY-6748","nitrate reduction VII (denitrification)","nitrate reduction VII (denitrification) (PWY-6748)","PWY-6748",0,4e-06,0.6,0,2e-06,0.4,1e-06,8e-06,1.7
"234","p309","PWY-6957","mandelate degradation to acetyl-CoA","mandelate degradation to acetyl-CoA (PWY-6957)","PWY-6957",0,8e-06,0.3,0,8e-06,0.4,0,0,0
"269","p340","PWY-7224","purine deoxyribonucleosides salvage","purine deoxyribonucleosides salvage (PWY-7224)","PWY-7224",0,4e-06,0.3,0,5e-06,0.4,0,0,0
"349","p412","PWY1F-823","leucopelargonidin and leucocyanidin biosynthesis","leucopelargonidin and leucocyanidin biosynthesis (PWY1F-823)","PWY1F-823",0,4e-06,0.3,0,4e-06,0.4,0,0,0
"352","p415","PWY3O-1109","no MetaCyc description","no MetaCyc description (PWY3O-1109)","PWY3O-1109",0,3e-06,0.3,0,0,0,1e-06,8e-06,1.7
"430","p75","LEU-DEG2-PWY","L-leucine degradation I","L-leucine degradation I (LEU-DEG2-PWY)","LEU-DEG2-PWY",0,5e-06,0.3,0,5e-06,0.4,0,0,0
